text,label
"The product exceeded my expectations, absolutely wonderful!",positive
"Fast shipping and excellent customer service.",positive
"This is the best purchase I've made all year.",positive
"Great value for money, highly recommended!",positive
"Works exactly as advertised, very satisfied.",positive
"Love the quality and attention to detail.",positive
"Amazing features and easy to use.",positive
"The customer support team was very helpful.",positive
"Product arrived on time and in perfect condition.",positive
"Impressive performance and reliability.",positive
"This product is terrible, complete waste of money.",negative
"Poor quality, broke after first use.",negative
"Worst customer service I've ever experienced.",negative
"Would not recommend to anyone.",negative
"The product didn't work as described.",negative
"Very disappointed with this purchase.",negative
"Shipping took forever and item was damaged.",negative
"Save your money and look elsewhere.",negative
"Horrible experience from start to finish.",negative
"Product is defective and support is unhelpful.",negative
"The product is okay, nothing special.",neutral
"Average performance for the price.",neutral
"Meets basic requirements but could be better.",neutral
"Not bad, but not great either.",neutral
"Decent product but expensive for what it is.",neutral
"Some good features, some bad ones.",neutral
"Middle of the road quality.",neutral
"Expected more but it's acceptable.",neutral
"Standard product, does the job.",neutral
"Fair quality for the price point.",neutral
